2024-10-10 11:32:19,249 - root - INFO - Plot button clicked
2024-10-10 11:32:19,308 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-10-10 11:32:19,308 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,309 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-10-10 11:32:19,309 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-10-10 11:32:19,310 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,310 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-10-10 11:32:19,311 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-10-10 11:32:19,311 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,312 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-10-10 11:32:19,313 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-10-10 11:32:19,313 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,314 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2024-10-10 11:32:19,315 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-10-10 11:32:19,315 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
